GSRN,Tilsluttet,Kapacitet,Rotordiame,Navhøjde,Fabrikat,Model,Kommune,Postnummer,Ejerlav,X,Y,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2023-1,Y2023-2,Y2023-3,Y2023-4,Y2023-5,Y2023-6,Y2023-7,Y2023-8,Y2023-9,Y2023-10,Y2023-11,Y2023-12,Latitude,Longitude,UTM_X,UTM_Y
570715000000081286,2007-04-01,750.0,44.0,40.4,Micon,,Vesthimmerlands,9670.0,Skarp Salling By,520524.15,6311688.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506124.0,375903.0,137327.0,1041850.0,1310005.0,1291220.533,1173508.353,1183652.523,1381006.344,1069074.765,1328999.319,1114723.36,1139942.818,1262611.0,954769.5,1138167.5,1151154.25,112426.75,114557.75,93702.75,93365.75,93575.25,51298.5,104668.0,70466.0,73474.0,152651.75,69897.5,121070.25,56.94836555655944,9.337391561032668,520524.15,6311688.88999999
570715000000086892,2009-07-23,2300.0,93.0,80.0,SIEMENS,,Vesthimmerlands,9670.0,"Tolstrup By, Næsborg",520697.57,6317665.37999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3784842.15625,7353887.134,8466915.5,8532929.75,7996326.0,8202689.25,10008093.0,7472532.75,9322384.25,8174979.75,8170222.0,8471486.5,7758907.0,8389918.25,7837145.0,889956.25,771089.5,658569.25,559608.25,553196.75,385870.75,677061.0,434374.75,405293.25,905162.0,647583.0,949380.25,57.002046829495626,9.34073217311987,520697.57,6317665.37999999
570715000000086908,2009-07-27,2300.0,93.0,80.0,SIEMENS,,Vesthimmerlands,9670.0,"Tolstrup By, Næsborg",521167.5,6317794.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3680140.6171875,7237519.623249999,8434188.0,8517313.25,7802554.75,8320772.0,9586484.75,7696370.0,8792906.75,7797157.75,7704420.5,8387864.25,7451749.25,8070706.75,7664086.75,857426.75,764880.75,647283.75,559814.0,566444.25,343784.0,608701.0,417321.25,449620.0,877112.75,642742.0,928956.25,57.003188694960954,9.348479072332996,521167.5,6317794.86
570715000000086915,2009-07-23,2300.0,93.0,80.0,SIEMENS,,Vesthimmerlands,9670.0,"Tolstrup By, Næsborg",521637.41,6317923.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3687551.265625,7171508.031750001,8406109.25,8525661.0,7665330.25,7910563.0,8378455.25,7711439.0,8586428.0,7613917.0,7627865.0,6882930.5,7294574.25,7889330.25,7595073.75,850133.25,754695.5,650639.25,559438.75,558780.5,318038.75,629803.5,423902.0,461029.5,858079.5,633226.25,897307.0,57.004324331864794,9.3562260600963,521637.409999999,6317923.7
570715000000086922,2009-07-17,2300.0,93.0,80.0,SIEMENS,,Vesthimmerlands,9670.0,"Tolstrup By, Næsborg",522107.17,6318052.87999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3752670.328125,7465386.395,8351692.75,8466190.5,7740963.75,7863056.25,9418471.5,7612688.5,8808952.75,7512950.5,7843280.75,8381135.75,7327737.25,7822573.0,7585641.25,833550.5,755692.75,654283.75,559314.0,571985.0,334772.0,611030.75,413167.5,455005.5,857866.75,637795.75,901177.0,57.00546255007954,9.363971078301484,522107.169999999,6318052.87999999
570715000000086939,2009-07-20,2300.0,93.0,80.0,SIEMENS,,Vesthimmerlands,9670.0,"Nørrekær Enge, Næsborg",522575.83,6318182.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3553554.625,7324296.801,8214450.25,8319901.75,7670933.0,7989315.0,9464085.75,7641073.75,8550173.25,7652637.25,7686956.25,8217374.25,7245062.75,7397312.0,7091505.0,796604.75,668481.75,639068.0,539397.75,506410.25,322267.0,443070.25,435027.0,388727.0,846568.75,614260.25,891622.25,57.00660043194423,9.371698458036466,522575.83,6318182.07
570715000000086946,2010-07-21,2300.0,93.0,80.0,SIEMENS,,Vesthimmerlands,9670.0,"Nørrekær Enge, Næsborg",523046.47,6318311.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3465202.95,8325157.0,8469050.25,7801700.0,7949701.75,9361819.5,7701474.25,8735964.5,7577415.75,7174981.25,7446631.75,7273724.5,7939523.75,7472957.5,845404.75,739931.0,647841.75,513268.25,548882.75,302031.0,582695.75,430250.0,454914.5,894741.75,612741.75,900254.25,57.007738545728316,9.379458915648586,523046.469999999,6318311.34999999
570715000000086953,2009-08-10,2300.0,93.0,80.0,SIEMENS,,Vesthimmerlands,9670.0,"Nørrekær Enge, Næsborg",523516.21,6318440.04999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3458647.6875,7490361.2015,8024257.25,8114346.25,7507930.0,7247550.0,9125165.5,7361484.25,7801369.25,6933040.75,7317407.75,7800763.0,6910555.75,7595047.25,7122838.0,821346.75,719440.0,625505.25,526667.25,538468.25,325664.25,559007.25,419082.5,395034.75,774809.25,569237.0,848575.5,57.008871013171095,9.387204972549368,523516.21,6318440.04999999
571313134499499024,2020-02-07,4300.0,130.0,85.0,SIEMENS,,Vesthimmerlands,9670.0,"Thorup By, Aggersborg",513455.0,6318326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8389845.669067461,11151356.988,14896599.384000001,14635499.987999998,1644797.908,1349132.495,1204425.061,1042976.868,1177945.096,690689.635,1367057.499,869981.225,1005853.282,1701639.898,902890.532,1678110.489,57.00824918634595,9.221538468269483,513455.0,6318326.0
571313134499499031,2020-02-07,4300.0,130.0,85.0,SIEMENS,,Vesthimmerlands,9670.0,"Thorup By, Aggersborg",513310.0,6318613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8111686.244067461,10321023.123,14522978.528,14231096.033999998,1638730.302,1365754.389,1154106.152,931786.48,1109139.529,672251.171,1326500.021,819461.25,949186.177,1624647.47,925569.188,1713963.905,57.01083162640132,9.21916620407182,513310.0,6318613.0
571313134499499048,2020-02-07,4300.0,130.0,85.0,SIEMENS,,Vesthimmerlands,9670.0,"Thorup By, Aggersborg",513164.0,6318900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7874926.14106746,9557447.372,13877817.552000001,13278890.685,1636484.083,1353133.311,1122530.8,893279.13,1035331.612,636145.633,1260842.694,685916.586,828494.821,1557139.051,693939.729,1575653.235,57.01341404918549,9.216777144124393,513164.0,6318900.0
571313134499499055,2020-02-13,4300.0,130.0,85.0,SIEMENS,,Vesthimmerlands,9670.0,"Ullerup By, Aggersborg",513023.0,6319180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8201575.91706746,9894690.817999998,14204030.14,13393790.851000002,1613255.394,1205540.774,1106544.715,856249.534,1005088.692,598279.622,1305236.859,795936.164,929388.31,1599822.431,768056.511,1610391.845,57.015933400724656,9.214469733547347,513023.0,6319180.0
571313134499499062,2020-02-27,4300.0,130.0,85.0,SIEMENS,,Vesthimmerlands,9670.0,"Ullerup By, Aggersborg",512885.0,6319453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7554068.110067461,9459017.109,13625731.072,13026844.854,1605573.325,1370534.747,1057628.939,818473.83,977390.423,611126.992,1246819.403,671666.996,817603.38,1565575.782,803055.591,1481395.446,57.01838974142007,9.212211061601929,512885.0,6319453.0
571313134499499123,2020-02-07,4300.0,130.0,85.0,SIEMENS,,Vesthimmerlands,9670.0,"Thorup By, Aggersborg",513734.0,6318663.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7923515.986067459,9471480.207999999,12937779.491,12993407.136999998,1537231.136,1268695.847,1047124.9,968915.876,891676.227,583305.381,1049223.754,640008.036,852621.463,1592776.805,1102442.806,1459384.906,57.011268380934375,9.226150572252156,513734.0,6318663.0
571313134499499130,2020-02-07,4300.0,130.0,85.0,SIEMENS,,Vesthimmerlands,9670.0,"Thorup By, Aggersborg",513588.0,6318951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7564927.0920674605,8591075.957999999,12205243.628,12346697.202000001,1403117.931,1198277.474,924578.796,880054.89,844987.175,564122.702,1025784.431,633098.047,743679.403,1549286.47,1005717.083,1573992.8,57.013859919853594,9.223762022696562,513588.0,6318951.0
571313134499499147,2020-02-21,4300.0,130.0,85.0,SIEMENS,,Vesthimmerlands,9670.0,"Ullerup By, Aggersborg",513443.0,6319238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7046076.95406746,8391975.583999999,11917113.756,12019085.67,1349372.272,1176522.242,916860.601,828152.125,840391.413,565195.843,1020421.39,609481.502,697464.568,1537617.631,973177.153,1504428.93,57.016442399860104,9.221389556472733,513443.0,6319238.0
571313134499499154,2020-03-03,4300.0,130.0,85.0,SIEMENS,,Vesthimmerlands,9670.0,"Ullerup By, Aggersborg",513297.0,6319528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6625457.158317461,8475970.851,11789521.432999998,12018723.439,1317518.422,1164876.656,899777.529,833756.408,826724.582,567354.373,1032422.969,632607.534,679381.304,1542365.722,961952.253,1559985.687,57.019051813074384,9.219000450344188,513297.0,6319528.0
